Sector,Definición,,
Energía industrial,,,
,,,
Meta,Definición,,
,"Consolidar al Estado de Yucatán como productor de energía limpia y confiable para asegurar la suficiencia energética mediante criterios de uso sostenible del territorio, certidumbre jurídica y desarrollo ordenado e incluyente del sector, que permitan aprovechar los recursos para crear un valor económico, ambiental y social.",,
,,,
Subsector,,,
Energía industrial,Fuentes de energía a escala industrial.,,
Energía comunitaria,Fuentes de energía utilizadas en las comunidades.,,
,,,
(Energía industrial )/Fuente ,Tipo de fuente de energía,,
Criterio,Definición,,
Hidrocarburos líquidos,Consumo y almacenamiento de hidrocarburos líquidos. Plantas que utilizan diesel o combustóleo para generar energía. Terminales de almacenamiento y reparto.,0.534,
Gas natural,Transporte de gas natural por gasoductos y vehículos terrestres. Terminales de almacenamiento y centrales eléctricas. Uso de gas comprimido por empresas.,0.26,
Solar,Instalaciones industriales que aprovechan la irradiación solar como fuente de energía.,0.097,
Eólica,"Instalaciones de generación de energía mediante el viento, mayores a 0.5 MW.",0.078,
Biomasa,Proyectos diseñados que utilizan material biológico para conversión en energía utilizable. Incluye los desechos de granjas porcícolas para producir energía eléctrica.,0.031,
,,,
Hidrocarburos líquidos,,,
Atributos,Definición,,
Distancia a carreteras,Distancia a carreteras,0.45,
Distancia a localidades,"Distancia a asentamientos humanos, excluye a las localidades.",0.251,
Ductos,Red de ductos para transportar hidrocarburos líquidos.,0.136,
Distancia a vías férreas,Distancia a vías férreas.,0.084,
Puerto,Puerto Progreso,0.076,
,,,
Gas natural,,,
Atributos,Definición,,
Ductos,Red de ductos para transportar hidrocarburos líquidos.,0.476,
Zonas industriales,Zonas industriales que demandan gas natural.,0.424,
Distancia a localidades,"Distancia de asentamientos humanos al gasoducto, excluye a las localidades.",0.101,
,,,
Solar,,,
Atributos,Definición,,
Distancia a red eléctrica,Distancia a líneas de transmisión y subestaciones.,0.714,
Tipo de cobertura,Tipo de vegetación.,0.143,
Tipo de tenencia,Tipo de tenencia de la tierra: Áreas ejidales (comunitaria o parcelada) y no ejidales.,0.143,
,,,
Tenencia,,,
Atributos,Definición,,
No ejidal,Zona no ejidal,0.584,
Parcelada,Zona de tierras parceladas,0.305,
Comunal ,Tierra de uso común,0.111,
,,,
Eólica,,,
Atributos,Definición,,
Densidad,"Densidad de potencial eólica a diferentes alturas, determina sitios ideales para colocar dispositivos de conversión de energía eólica a eléctrica.", ,
Velocidad,"Velocidad del viento, determina sitios ideales para colocar dispositivos de conversión de energía eólica a eléctrica.", ,
,,,
Biomasa,,,
Atributos,Definición,,
Cultivos,"Cultivos especializados, destinados a la producción biocombustibles líquidos bioetanol y biodiesel.", ,
Residuos urbanos,Biomasa de origen urbano procedente de las actividades urbanas cotidianas. Incluye sitios de disposición final de residuos sólidos urbanos y a los influentes de plantas de tratamiento de aguas residuales., ,
Residuos vegetales,Biomasa agrícola y forestal. Incluye los residuos que se generan durante la cosecha de los principales cultivos. Los residuos forestales incluyen los centros de transformación y almacenamiento de recurso maderero con permiso vigente para el aprovechamiento y transporte de la madera., ,
Tala sustentable,"Material vegetal producto de la tala sustentable, con potencial para generación de energía.", ,
,,,
Densidad,,,
Atributos,Definición,,
Densidad a 30 m,Densidad de potencia eólica a 30 metros., ,
Densidad a 50 m,Densidad de potencia eólica a 50 metros., ,
Densidad a 80 m,Densidad de potencia eólica a 80 metros., ,
Densidad a 120 m,Densidad de potencia eólica a 120 metros., ,
,,,
Velocidad,,,
Atributos,Definición,,
Velocidad a 30 m,Velocidad del viento a 30 m de altura., ,
Velocidad a 50 m,Velocidad del viento a 50 m de altura., ,
Velocidad a 80 m,Velocidad del viento a 80 m de altura., ,
Velocidad a 120 m,Velocidad del viento a 120 m de altura., ,
,, ,
,,,
,,,
